ALGORITHM,NUMBER OF ELEMENTS,NUMBER OF COMPARISONS,NUMBER OF SWAPS,
QUICK,90,572,572,
QUICK,99,600,600,
QUICK,85,475,475,
QUICK,41,208,208,
QUICK,13,38,38,
QUICK,64,338,338,
QUICK,80,462,462,
QUICK,33,162,162,
QUICK,82,493,493,
QUICK,39,156,156,
QUICK,36,141,141,
QUICK,76,380,380,
QUICK,45,266,266,
QUICK,97,670,670,
QUICK,70,355,355,
QUICK,56,283,283,
QUICK,98,602,602,
QUICK,82,579,579,
QUICK,71,384,384,
QUICK,55,301,301,
QUICK,68,387,387,
QUICK,65,366,366,
QUICK,33,169,169,
QUICK,89,481,481,
QUICK,92,664,664,
QUICK,93,559,559,
QUICK,87,565,565,
QUICK,24,97,97,
QUICK,35,171,171,
QUICK,56,300,300,
QUICK,43,190,190,
QUICK,47,279,279,
QUICK,79,503,503,
QUICK,64,363,363,
QUICK,72,358,358,
QUICK,90,487,487,
QUICK,78,508,508,
QUICK,62,341,341,
QUICK,88,559,559,
QUICK,37,147,147,
QUICK,80,465,465,
QUICK,84,550,550,
QUICK,71,382,382,
QUICK,98,635,635,
QUICK,95,566,566,
QUICK,6,12,12,
QUICK,65,420,420,
QUICK,62,361,361,
QUICK,78,411,411,
QUICK,98,691,691,
QUICK,6,8,8,
QUICK,37,212,212,
QUICK,28,118,118,
QUICK,35,147,147,
QUICK,53,291,291,
QUICK,7,16,16,
QUICK,80,473,473,
QUICK,84,449,449,
QUICK,90,510,510,
QUICK,76,430,430,
QUICK,92,558,558,
QUICK,72,475,475,
QUICK,39,197,197,
BUBBLE,8,28,10,38
BUBBLE,68,2278,1110,3388
BUBBLE,58,1653,810,2463
BUBBLE,55,1485,663,2148
BUBBLE,38,703,324,1027
BUBBLE,61,1830,893,2723
BUBBLE,96,4560,1924,6484
BUBBLE,43,903,535,1438
BUBBLE,90,4005,2187,6192
BUBBLE,98,4753,2209,6962
BUBBLE,48,1128,504,1632
BUBBLE,90,4005,1845,5850
BUBBLE,88,3828,1889,5717
BUBBLE,67,2211,1011,3222
BUBBLE,73,2628,1197,3825
BUBBLE,75,2775,1422,4197
BUBBLE,90,4005,2065,6070
BUBBLE,40,780,396,1176
BUBBLE,40,780,350,1130
BUBBLE,20,190,109,299
BUBBLE,41,820,376,1196
BUBBLE,22,231,122,353
BUBBLE,50,1225,724,1949
BUBBLE,54,1431,722,2153
BUBBLE,100,4950,2434,7384
BUBBLE,75,2775,1522,4297
BUBBLE,79,3081,1391,4472
BUBBLE,42,861,389,1250
BUBBLE,6,15,7,22
BUBBLE,45,990,489,1479
BUBBLE,13,78,49,127
BUBBLE,39,741,355,1096
BUBBLE,32,496,185,681
BUBBLE,47,1081,538,1619
BUBBLE,58,1653,876,2529
BUBBLE,33,528,306,834
BUBBLE,71,2485,1039,3524
BUBBLE,33,528,281,809
BUBBLE,5,10,7,17
BUBBLE,29,406,227,633
BUBBLE,28,378,166,544
BUBBLE,71,2485,1225,3710
BUBBLE,24,276,176,452
BUBBLE,72,2556,1197,3753
BUBBLE,78,3003,1687,4690
BUBBLE,54,1431,619,2050
BUBBLE,5,10,4,14
BUBBLE,48,1128,521,1649
BUBBLE,99,4851,2461,7312
BUBBLE,22,231,90,321
BUBBLE,45,990,539,1529
BUBBLE,17,136,66,202
BUBBLE,68,2278,907,3185
BUBBLE,94,4371,2125,6496
BUBBLE,86,3655,1632,5287
BUBBLE,32,496,262,758
BUBBLE,8,28,11,39
BUBBLE,25,300,129,429
BUBBLE,71,2485,1352,3837
BUBBLE,68,2278,1039,3317
BUBBLE,44,946,396,1342
BUBBLE,81,3240,1585,4825
BUBBLE,39,741,368,1109
BUBBLE,27,351,153,504
BUBBLE,11,55,22,77
BUBBLE,41,820,399,1219
BUBBLE,75,2775,1402,4177
BUBBLE,93,4278,1844,6122
BUBBLE,14,91,48,139
BUBBLE,40,780,288,1068
BUBBLE,51,1275,624,1899
BUBBLE,92,4186,2350,6536
BUBBLE,60,1770,987,2757
BUBBLE,84,3486,1530,5016
BUBBLE,32,496,266,762
BUBBLE,37,666,370,1036
BUBBLE,91,4095,2142,6237
BUBBLE,96,4560,2182,6742
BUBBLE,66,2145,1019,3164
BUBBLE,6,15,6,21
BUBBLE,29,406,171,577
BUBBLE,39,741,342,1083
BUBBLE,36,630,234,864
BUBBLE,78,3003,1402,4405
BUBBLE,35,595,272,867
BUBBLE,43,903,505,1408
BUBBLE,79,3081,1445,4526
BUBBLE,29,406,223,629
BUBBLE,56,1540,924,2464
BUBBLE,12,66,30,96
BUBBLE,9,36,16,52
BUBBLE,84,3486,1981,5467
BUBBLE,8,28,7,35
BUBBLE,57,1596,765,2361
BUBBLE,76,2850,1362,4212
BUBBLE,17,136,69,205
BUBBLE,55,1485,549,2034
BUBBLE,95,4465,2145,6610
BUBBLE,12,66,43,109
BUBBLE,70,2415,1048,3463
QUICK,8,16,16,
QUICK,68,370,370,
QUICK,58,311,311,
QUICK,55,280,280,
QUICK,38,168,168,
QUICK,61,343,343,
QUICK,96,676,676,
QUICK,43,202,202,
QUICK,90,544,544,
QUICK,98,717,717,
QUICK,48,264,264,
QUICK,90,487,487,
QUICK,88,544,544,
QUICK,67,364,364,
QUICK,73,404,404,
QUICK,75,395,395,
QUICK,90,503,503,
QUICK,40,216,216,
QUICK,40,163,163,
QUICK,20,75,75,
QUICK,41,179,179,
QUICK,22,79,79,
QUICK,50,251,251,
QUICK,54,320,320,
QUICK,100,721,721,
QUICK,75,410,410,
QUICK,79,430,430,
QUICK,42,174,174,
QUICK,6,9,9,
QUICK,45,232,232,
QUICK,13,32,32,
QUICK,39,169,169,
QUICK,32,121,121,
QUICK,47,224,224,
QUICK,58,301,301,
QUICK,33,175,175,
QUICK,71,415,415,
QUICK,33,142,142,
QUICK,5,6,6,
QUICK,29,107,107,
QUICK,28,135,135,
QUICK,71,401,401,
QUICK,24,80,80,
QUICK,72,441,441,
QUICK,78,412,412,
QUICK,54,301,301,
QUICK,5,6,6,
QUICK,48,240,240,
QUICK,99,612,612,
QUICK,22,108,108,
QUICK,45,239,239,
QUICK,17,60,60,
QUICK,68,365,365,
QUICK,94,544,544,
QUICK,86,490,490,
QUICK,32,136,136,
QUICK,8,19,19,
QUICK,25,83,83,
QUICK,71,423,423,
QUICK,68,413,413,
QUICK,44,212,212,
QUICK,81,526,526,
QUICK,39,167,167,
QUICK,27,102,102,
QUICK,11,37,37,
QUICK,41,205,205,
QUICK,75,526,526,
QUICK,93,585,585,
QUICK,14,40,40,
QUICK,40,194,194,
QUICK,51,231,231,
QUICK,92,512,512,
QUICK,60,309,309,
QUICK,84,462,462,
QUICK,32,144,144,
QUICK,37,149,149,
QUICK,91,516,516,
QUICK,96,646,646,
QUICK,66,361,361,
QUICK,6,8,8,
QUICK,29,106,106,
QUICK,39,169,169,
QUICK,36,168,168,
QUICK,78,526,526,
QUICK,35,141,141,
QUICK,43,191,191,
QUICK,79,459,459,
QUICK,29,139,139,
QUICK,56,344,344,
QUICK,12,29,29,
QUICK,9,18,18,
QUICK,84,540,540,
QUICK,8,19,19,
QUICK,57,255,255,
QUICK,76,539,539,
QUICK,17,54,54,
QUICK,55,332,332,
QUICK,95,574,574,
QUICK,12,29,29,
QUICK,70,344,344,
BUBBLE,93,4278,2058,6336
BUBBLE,75,2775,1275,4050
BUBBLE,70,2415,1118,3533
BUBBLE,13,78,47,125
BUBBLE,10,45,21,66
BUBBLE,91,4095,2360,6455
BUBBLE,33,528,253,781
BUBBLE,97,4656,2236,6892
BUBBLE,72,2556,1243,3799
BUBBLE,39,741,350,1091
BUBBLE,96,4560,2391,6951
BUBBLE,58,1653,678,2331
BUBBLE,20,190,106,296
BUBBLE,63,1953,963,2916
BUBBLE,40,780,375,1155
BUBBLE,14,91,44,135
BUBBLE,17,136,66,202
BUBBLE,81,3240,1736,4976
BUBBLE,84,3486,1968,5454
BUBBLE,18,153,59,212
BUBBLE,12,66,34,100
BUBBLE,76,2850,1214,4064
BUBBLE,90,4005,2078,6083
BUBBLE,97,4656,2242,6898
BUBBLE,44,946,483,1429
BUBBLE,81,3240,1683,4923
BUBBLE,98,4753,2128,6881
BUBBLE,69,2346,996,3342
BUBBLE,21,210,113,323
BUBBLE,40,780,491,1271
BUBBLE,94,4371,2381,6752
BUBBLE,84,3486,1563,5049
BUBBLE,23,253,149,402
BUBBLE,29,406,171,577
BUBBLE,41,820,457,1277
BUBBLE,56,1540,843,2383
BUBBLE,65,2080,1232,3312
BUBBLE,94,4371,2164,6535
BUBBLE,56,1540,805,2345
BUBBLE,84,3486,1815,5301
BUBBLE,34,561,284,845
BUBBLE,53,1378,690,2068
BUBBLE,36,630,331,961
BUBBLE,62,1891,968,2859
BUBBLE,49,1176,562,1738
BUBBLE,10,45,27,72
BUBBLE,40,780,420,1200
BUBBLE,40,780,397,1177
BUBBLE,36,630,296,926
BUBBLE,42,861,373,1234
BUBBLE,35,595,327,922
BUBBLE,85,3570,1756,5326
BUBBLE,88,3828,1736,5564
BUBBLE,77,2926,1427,4353
BUBBLE,65,2080,1104,3184
BUBBLE,10,45,25,70
BUBBLE,13,78,37,115
BUBBLE,45,990,533,1523
BUBBLE,71,2485,1155,3640
BUBBLE,72,2556,1208,3764
BUBBLE,36,630,322,952
BUBBLE,45,990,588,1578
BUBBLE,74,2701,1220,3921
BUBBLE,98,4753,1922,6675
BUBBLE,66,2145,957,3102
BUBBLE,22,231,103,334
BUBBLE,88,3828,2158,5986
BUBBLE,6,15,13,28
BUBBLE,88,3828,1974,5802
BUBBLE,70,2415,1265,3680
BUBBLE,63,1953,1015,2968
BUBBLE,66,2145,1039,3184
BUBBLE,94,4371,2104,6475
BUBBLE,88,3828,2088,5916
BUBBLE,63,1953,903,2856
BUBBLE,78,3003,1639,4642
BUBBLE,88,3828,1724,5552
BUBBLE,26,325,210,535
BUBBLE,50,1225,556,1781
BUBBLE,15,105,40,145
BUBBLE,42,861,424,1285
BUBBLE,67,2211,1137,3348
BUBBLE,19,171,92,263
BUBBLE,17,136,81,217
BUBBLE,100,4950,2534,7484
BUBBLE,20,190,96,286
BUBBLE,50,1225,591,1816
BUBBLE,55,1485,632,2117
BUBBLE,87,3741,1709,5450
BUBBLE,64,2016,1090,3106
BUBBLE,56,1540,796,2336
BUBBLE,51,1275,716,1991
BUBBLE,28,378,171,549
BUBBLE,43,903,569,1472
BUBBLE,27,351,197,548
BUBBLE,85,3570,1563,5133
BUBBLE,59,1711,854,2565
BUBBLE,74,2701,1592,4293
BUBBLE,52,1326,621,1947
BUBBLE,70,2415,1109,3524
QUICK,93,508,508,
QUICK,75,500,500,
QUICK,70,355,355,
QUICK,13,34,34,
QUICK,10,22,22,
QUICK,91,610,610,
QUICK,33,155,155,
QUICK,97,630,630,
QUICK,72,546,546,
QUICK,39,207,207,
QUICK,96,583,583,
QUICK,58,343,343,
QUICK,20,80,80,
QUICK,63,326,326,
QUICK,40,176,176,
QUICK,14,38,38,
QUICK,17,61,61,
QUICK,81,476,476,
QUICK,84,537,537,
QUICK,18,54,54,
QUICK,12,29,29,
QUICK,76,411,411,
QUICK,90,510,510,
QUICK,97,579,579,
QUICK,44,221,221,
QUICK,81,544,544,
QUICK,98,569,569,
QUICK,69,418,418,
QUICK,21,67,67,
QUICK,40,202,202,
QUICK,94,714,714,
QUICK,84,536,536,
QUICK,23,114,114,
QUICK,29,138,138,
QUICK,41,223,223,
QUICK,56,274,274,
QUICK,65,355,355,
QUICK,94,621,621,
QUICK,56,307,307,
QUICK,84,475,475,
QUICK,34,136,136,
QUICK,53,250,250,
QUICK,36,143,143,
QUICK,62,284,284,
QUICK,49,248,248,
QUICK,10,32,32,
QUICK,40,166,166,
QUICK,40,218,218,
QUICK,36,161,161,
QUICK,42,220,220,
QUICK,35,181,181,
QUICK,85,559,559,
QUICK,88,608,608,
QUICK,77,419,419,
QUICK,65,368,368,
QUICK,10,19,19,
QUICK,13,38,38,
QUICK,45,244,244,
QUICK,71,404,404,
QUICK,72,427,427,
QUICK,36,210,210,
QUICK,45,198,198,
QUICK,74,397,397,
QUICK,98,674,674,
QUICK,66,384,384,
QUICK,22,100,100,
QUICK,88,532,532,
QUICK,6,9,9,
QUICK,88,519,519,
QUICK,70,362,362,
QUICK,63,369,369,
QUICK,66,421,421,
QUICK,94,508,508,
QUICK,88,572,572,
QUICK,63,399,399,
QUICK,78,540,540,
QUICK,88,530,530,
QUICK,26,90,90,
QUICK,50,279,279,
QUICK,15,50,50,
QUICK,42,171,171,
QUICK,67,373,373,
QUICK,19,64,64,
QUICK,17,48,48,
QUICK,100,572,572,
QUICK,20,66,66,
QUICK,50,273,273,
QUICK,55,325,325,
QUICK,87,486,486,
QUICK,64,370,370,
QUICK,56,275,275,
QUICK,51,290,290,
QUICK,28,103,103,
QUICK,43,263,263,
QUICK,27,106,106,
QUICK,85,504,504,
QUICK,59,446,446,
QUICK,74,374,374,
QUICK,52,319,319,
QUICK,70,398,398,
